Simbol,Pret_CSV_2020,Pret_Real_API_2020,Trend_Real,Trend_Corect,Pred_1_Zi,Real_1_Zi,Eroare_1_Zi_%,Scor_1_Zi,Pred_1_Sapt,Real_1_Sapt,Eroare_1_Sapt_%,Scor_1_Sapt,Pred_1_Luna,Real_1_Luna,Eroare_1_Luna_%,Scor_1_Luna,Pred_1_An,Real_1_An,Eroare_1_An_%,Scor_1_An
BDN,9.43,5.0051,SCĂDERE,DA,9.4564,4.9945,89.34,0.0,9.4758,5.7885,63.7,0.0,9.6322,5.7343,67.98,0.0,11.0838,7.5392,47.02,0.0
MSD,7.44,4.4874,CREȘTERE,NU,7.4643,4.5236,65.01,0.0,7.4504,4.6502,60.22,0.0,7.5739,4.5597,66.1,0.0,8.6884,5.6932,52.61,0.0
IDN,3.05,3.05,SCĂDERE,DA,3.034,2.7,12.37,88.15,3.0476,3.24,5.94,100.0,3.1132,6.08,48.8,0.0,3.6279,8.7,58.3,0.0
BRO,34.44,32.9188,CREȘTERE,NU,34.5846,33.3203,3.79,100.0,34.8684,35.5569,1.94,100.0,35.4463,33.5114,5.77,100.0,38.368,44.8395,14.43,77.84
AHCO,16.25,16.25,CREȘTERE,NU,16.2526,18.15,10.45,97.73,16.1341,17.72,8.95,100.0,15.7827,16.11,2.03,100.0,11.01,37.1,70.32,0.0
ARMP,3.05,3.05,CREȘTERE,NU,3.2995,3.13,5.42,100.0,3.3467,3.34,0.2,100.0,3.4229,3.51,2.48,100.0,3.7675,4.74,20.52,47.42
APEI,22.84,22.84,SCĂDERE,DA,22.6879,21.89,3.65,100.0,22.539,22.63,0.4,100.0,22.4817,24.58,8.54,100.0,22.4535,36.29,38.13,0.0
ESI,8.09,7.5094,SCĂDERE,DA,8.0688,7.4537,8.25,100.0,8.0888,7.6951,5.12,100.0,8.0977,9.2731,12.68,86.62,8.6057,17.5759,51.04,0.0
HQI,5.68,5.147,SCĂDERE,DA,5.6987,5.1289,11.11,94.45,5.703,6.0079,5.07,100.0,5.7472,5.8447,1.67,100.0,6.0877,15.7924,61.45,0.0
SONG,2.69,N/A,N/A,N/A,2.6895,N/A,N/A,N/A,2.6933,N/A,N/A,N/A,2.7155,N/A,N/A,N/A,2.9429,N/A,N/A,N/A
SPXX,11.25,7.3197,CREȘTERE,NU,11.2904,7.4238,52.08,0.0,11.3002,8.2436,37.08,0.0,11.5198,8.0419,43.25,0.0,13.6519,11.549,18.21,58.96
PAG,26.15,22.9214,SCĂDERE,DA,26.2099,21.5102,21.85,40.76,26.2514,27.8213,5.64,100.0,26.6567,29.925,10.92,95.39,30.7784,71.893,57.19,0.0
BANF,29.3,26.0208,CREȘTERE,NU,29.2592,28.5074,2.64,100.0,29.3012,30.5145,3.98,100.0,29.8091,33.3386,10.59,97.07,33.8757,64.6897,47.63,0.0
TRMD,7.566,3.6223,SCĂDERE,DA,7.5232,3.6223,107.69,0.0,7.5747,3.7534,101.81,0.0,7.6561,3.9934,91.72,0.0,8.6901,4.998,73.87,0.0
UEC,0.57,0.57,SCĂDERE,DA,0.5714,0.56,2.04,100.0,0.5719,0.65,12.02,89.92,0.579,1.14,49.21,0.0,0.6526,3.21,79.67,0.0
HRZN,7.28,3.4915,SCĂDERE,DA,7.2717,3.4291,112.06,0.0,7.2689,4.0334,80.22,0.0,7.3892,4.4881,64.64,0.0,8.6138,7.7081,11.75,91.25
HYAC,9.75,N/A,N/A,N/A,9.7637,N/A,N/A,N/A,9.779,N/A,N/A,N/A,9.8708,N/A,N/A,N/A,10.9989,N/A,N/A,N/A
PPSI,1.25,0.9199,SCĂDERE,DA,1.2524,0.7875,59.04,0.0,1.2538,0.9935,26.2,19.02,1.276,0.8463,50.77,0.0,1.51,3.5767,57.78,0.0
VCTR,15.77,13.3343,SCĂDERE,DA,15.6928,13.1145,19.66,51.7,15.8251,12.9538,22.17,39.17,15.8805,12.6071,25.96,20.18,16.1383,22.1725,27.21,13.93
INMB,3.215,3.215,CREȘTERE,NU,3.2029,3.27,2.05,100.0,3.2044,3.357,4.55,100.0,3.2231,4.75,32.15,0.0,3.5548,12.32,71.15,0.0
IMUX,5.67,56.7,SCĂDERE,DA,5.6744,56.7,89.99,0.0,5.6945,60.9,90.65,0.0,5.7394,76.1,92.46,0.0,6.1983,168.5,96.32,0.0
MYGN,13.11,13.11,CREȘTERE,NU,13.0687,13.31,1.81,100.0,13.1086,14.26,8.07,100.0,13.4631,14.8,9.03,100.0,18.0034,31.21,42.32,0.0
USNA,55.29,55.29,CREȘTERE,NU,55.7633,62.72,11.09,94.54,56.6691,70.94,20.12,49.42,58.0556,84.53,31.32,0.0,67.7295,99.17,31.7,0.0
ELMD,10.27,10.27,CREȘTERE,NU,10.2241,10.59,3.46,100.0,10.183,12.15,16.19,69.05,10.047,13.35,24.74,26.29,8.1154,10.99,26.16,19.22
WPM,27.43,25.6881,CREȘTERE,NU,27.2421,26.6246,2.32,100.0,27.1753,27.5236,1.27,100.0,26.8743,38.49,30.18,0.0,23.7998,37.7637,36.98,0.0
YUMC,40.99,38.5197,CREȘTERE,NU,41.0212,39.4688,3.93,100.0,41.2617,42.1471,2.1,100.0,41.582,43.613,4.66,100.0,46.8089,55.79,16.1,69.51
MOTS,0.666,199.89,SCĂDERE,DA,0.6651,189.0,99.65,0.0,0.664,258.72,99.74,0.0,0.6832,303.0,99.77,0.0,0.8336,360.0,99.77,0.0
AFB,12.54,9.5726,CREȘTERE,NU,12.5557,9.6232,30.47,0.0,12.6504,9.6308,31.35,0.0,12.7779,9.7458,31.11,0.0,14.5392,11.4072,27.46,12.72
OEC,6.39,6.2413,CREȘTERE,NU,6.4213,6.4757,0.84,100.0,6.4882,7.5111,13.62,81.91,6.6205,8.1948,19.21,53.95,8.1331,19.437,58.16,0.0
ADNT,7.56,7.56,CREȘTERE,NU,7.6083,7.65,0.55,100.0,7.653,10.84,29.4,3.0,7.7809,14.35,45.78,0.0,8.7891,43.1,79.61,0.0
TSBK,15.4,12.3785,SCĂDERE,DA,15.4473,12.266,25.94,20.32,15.6001,12.9813,20.17,49.13,15.855,14.5487,8.98,100.0,19.0281,24.2557,21.55,42.24
EXPI,7.78,3.5868,SCĂDERE,DA,7.7578,3.5223,120.25,0.0,7.7625,3.7528,106.85,0.0,7.8683,4.0755,93.06,0.0,9.2719,41.7879,77.81,0.0
PAGS,18.5,17.5321,CREȘTERE,NU,18.5829,17.9112,3.75,100.0,18.578,20.5931,9.79,100.0,18.9507,24.2227,21.76,41.18,23.4851,45.9909,48.94,0.0
AYTU,1.53,306.0,CREȘTERE,NU,1.4725,314.0,99.53,0.0,1.4326,304.0,99.53,0.0,1.3694,320.0,99.57,0.0,1.1127,151.2,99.26,0.0
REPL,9.78,9.78,SCĂDERE,DA,9.7301,9.76,0.31,100.0,9.8895,11.28,12.33,88.36,10.1733,16.21,37.24,0.0,11.4929,31.58,63.61,0.0
ARR,7.19,13.9565,SCĂDERE,DA,7.2198,12.9859,44.4,0.0,7.2707,16.4993,55.93,0.0,7.3604,15.6646,53.01,0.0,8.3455,26.2862,68.25,0.0
RFIL,3.92,3.92,SCĂDERE,DA,3.9292,3.85,2.06,100.0,3.9415,4.03,2.2,100.0,3.9875,5.35,25.47,22.66,4.3353,6.24,30.52,0.0
ELAN,20.15,20.15,CREȘTERE,NU,20.1427,20.77,3.02,100.0,20.2852,23.43,13.42,82.89,20.47,24.04,14.85,75.75,22.418,28.79,22.13,39.34
DLPN,0.59,5.9,SCĂDERE,DA,0.5923,5.4,89.03,0.0,0.6086,4.7,87.05,0.0,0.6076,4.8,87.34,0.0,0.6184,26.8,97.69,0.0
AGNCN,18.28,10.7862,CREȘTERE,NU,18.3221,11.3526,61.39,0.0,18.395,13.5241,36.02,0.0,18.6228,13.589,37.04,0.0,20.7063,16.206,27.77,11.15
QIWI,9.91,8.1727,CREȘTERE,NU,9.953,8.6675,14.83,75.84,9.9757,9.7373,2.45,100.0,10.1364,10.9502,7.43,100.0,11.5442,9.4446,22.23,38.85
JQC,5.41,2.6328,CREȘTERE,NU,5.4105,2.6961,100.68,0.0,5.427,2.9005,87.11,0.0,5.4762,2.8297,93.53,0.0,6.1386,3.7282,64.65,0.0
CLWT,2.2,1.9206,SCĂDERE,DA,2.2022,1.7198,28.05,9.77,2.1927,1.7024,28.8,5.99,2.2205,1.8595,19.41,52.94,2.4755,3.0905,19.9,50.5
NSP,34.12,28.2181,CREȘTERE,NU,34.3188,29.591,15.98,70.11,34.2543,32.9653,3.91,100.0,35.0674,38.9364,9.94,100.0,44.5615,72.4337,38.48,0.0
DHX,2.13,2.13,CREȘTERE,NU,2.1394,2.42,11.6,92.02,2.1382,2.41,11.28,93.61,2.161,2.71,20.26,48.71,2.5277,3.41,25.87,20.63
QRVO,74.58,74.58,CREȘTERE,NU,74.3729,76.66,2.98,100.0,74.631,87.02,14.24,78.82,74.9158,93.15,19.58,52.12,80.6307,192.9,58.2,0.0
TWLO,84.93,84.93,SCĂDERE,DA,84.9151,83.32,1.91,100.0,85.2208,91.73,7.1,100.0,86.054,107.98,20.31,48.47,95.2642,352.04,72.94,0.0
CTAS,162.69,38.2543,CREȘTERE,NU,163.6577,38.8422,321.34,0.0,163.7054,45.2426,261.84,0.0,166.5089,49.8042,234.33,0.0,188.1856,82.9396,126.89,0.0
HPQ,14.84,11.9903,CREȘTERE,NU,14.9368,12.5155,19.35,53.27,15.1477,12.7013,19.26,53.7,15.3593,11.8853,29.23,3.85,15.8526,26.7806,40.81,0.0
EQ,2.48,2.48,SCĂDERE,DA,2.462,2.45,0.49,100.0,2.4923,2.43,2.56,100.0,2.5464,2.52,1.05,100.0,2.9542,7.24,59.2,0.0
BHC,13.75,13.75,SCĂDERE,DA,13.7391,13.58,1.17,100.0,13.7018,15.68,12.62,86.92,13.9018,17.16,18.99,55.06,16.0297,31.71,49.45,0.0
SY,10.06,9.2148,SCĂDERE,DA,10.0153,8.995,11.34,93.28,9.997,9.0591,10.35,98.23,10.0112,9.2331,8.43,100.0,10.3418,9.1415,13.13,84.35
UI,134.34,126.7557,CREȘTERE,NU,134.3094,131.6905,1.99,100.0,134.6766,150.7029,10.63,96.83,133.6807,146.8344,8.96,100.0,132.5279,274.6393,51.74,0.0
SHOP,384.67,38.467,SCĂDERE,DA,384.4541,34.63,1010.18,0.0,386.931,41.451,833.47,0.0,386.4312,61.364,529.74,0.0,365.4805,115.541,216.32,0.0
FAMI,0.52,1248.0,CREȘTERE,NU,0.5205,1272.0,99.96,0.0,0.5229,1320.0,99.96,0.0,0.531,1176.0,99.95,0.0,0.6128,2712.0,99.98,0.0
JOUT,58.39,50.5858,CREȘTERE,NU,58.1209,51.7207,12.37,88.13,58.2275,55.029,5.81,100.0,58.0657,57.8439,0.38,100.0,57.673,127.6357,54.81,0.0
MDWD,1.5,10.5,SCĂDERE,DA,1.5032,10.5,85.68,0.0,1.504,10.78,86.05,0.0,1.5285,14.0,89.08,0.0,1.7715,36.75,95.18,0.0
PPG,79.89,70.4978,CREȘTERE,NU,80.0783,71.239,12.41,87.96,80.1026,82.3753,2.76,100.0,81.0399,77.6543,4.36,100.0,91.3198,136.582,33.14,0.0
PCAR,60.12,32.4341,CREȘTERE,NU,60.0722,32.8387,82.93,0.0,60.1163,35.8545,67.67,0.0,60.2258,36.8417,63.47,0.0,64.0891,50.8141,26.12,19.38
HTLD,17.51,16.4016,CREȘTERE,NU,17.5176,16.6826,5.01,100.0,17.4962,18.3312,4.55,100.0,17.5355,18.6403,5.93,100.0,18.3969,18.4908,0.51,100.0
BKE,12.53,6.7611,CREȘTERE,NU,12.5126,7.1334,75.41,0.0,12.5274,7.959,57.4,0.0,12.6014,7.7378,62.86,0.0,13.6794,23.1514,40.91,0.0
USOI,8.25,25.0712,CREȘTERE,NU,8.2482,29.5688,72.11,0.0,8.2425,32.3342,74.51,0.0,8.456,21.2013,60.12,0.0,10.1155,23.7319,57.38,0.0
BHFAL,23.2,15.493,SCĂDERE,DA,23.2043,15.4796,49.9,0.0,23.2416,16.3678,42.0,0.0,23.2554,16.8619,37.92,0.0,24.0193,19.3795,23.94,30.29
ASPN,5.93,5.93,CREȘTERE,NU,5.9021,6.29,6.17,100.0,5.9365,6.17,3.78,100.0,5.9456,6.07,2.05,100.0,5.6995,20.79,72.59,0.0
IHT,1.06,0.9937,CREȘTERE,NU,1.0628,1.0406,2.14,100.0,1.0715,0.9562,12.06,89.7,1.0858,0.8249,31.62,0.0,1.2594,2.462,48.85,0.0
KMPR,71.39,61.6373,SCĂDERE,DA,71.1716,59.6515,19.31,53.44,71.6601,58.745,21.99,40.07,71.3534,56.1289,27.12,14.38,66.7021,71.2834,6.43,100.0
AUBN,40.0,31.3987,SCĂDERE,DA,39.6638,30.8728,28.48,7.62,39.7053,28.8947,37.41,0.0,39.5506,34.1461,15.83,70.86,35.3939,31.2226,13.36,83.2
SBR,24.96,14.5589,CREȘTERE,NU,24.9052,15.7197,58.43,0.0,25.0053,17.0029,47.06,0.0,25.4637,15.4309,65.02,0.0,30.451,19.502,56.14,0.0
MTSI,17.81,17.81,CREȘTERE,NU,17.7861,18.4,3.34,100.0,18.0656,23.49,23.09,34.54,18.278,28.72,36.36,0.0,20.2963,58.56,65.34,0.0
SPG,47.04,33.7705,SCĂDERE,DA,47.1271,31.5953,49.16,0.0,47.091,45.1638,4.27,100.0,48.4118,45.372,6.7,100.0,58.8253,87.3011,32.62,0.0
PM,71.12,52.862,CREȘTERE,NU,71.5252,55.2553,29.44,2.78,71.9217,55.4932,29.6,1.98,72.4522,54.4675,33.02,0.0,82.6103,69.4458,18.96,55.22
CRSP,38.5,38.5,CREȘTERE,NU,38.3122,39.51,3.03,100.0,38.9897,44.38,12.15,89.27,39.1938,48.46,19.12,54.39,43.0647,119.41,63.94,0.0
NCSM,0.521,10.42,CREȘTERE,NU,0.521,11.0,95.26,0.0,0.5231,11.0,95.24,0.0,0.527,11.84,95.55,0.0,0.5852,26.16,97.76,0.0
AMH,21.83,19.0351,SCĂDERE,DA,21.6372,18.4944,16.99,65.04,21.6461,20.8313,3.91,100.0,22.1824,20.2733,9.42,100.0,25.8993,30.1025,13.96,80.19
OTEX,34.06,28.9998,CREȘTERE,NU,33.9864,29.3829,15.67,71.66,34.4453,31.0177,11.05,94.75,34.6935,32.2182,7.68,100.0,36.0864,41.8283,13.73,81.36
WHG,16.71,12.2679,CREȘTERE,NU,16.6921,12.334,35.33,0.0,16.646,14.4851,14.92,75.41,17.0899,15.8874,7.57,100.0,20.7387,11.6158,78.54,0.0
UPWK,5.99,5.99,SCĂDERE,DA,6.0073,5.78,3.93,100.0,6.0254,7.22,16.55,67.27,6.1431,8.53,27.98,10.09,7.5448,46.53,83.79,0.0
BCE,38.88,26.1225,CREȘTERE,NU,38.9579,27.1505,43.49,0.0,39.1172,27.4595,42.45,0.0,40.1236,26.6399,50.61,0.0,51.4306,32.4969,58.26,0.0
GRVY,30.2,30.2,SCĂDERE,DA,30.1339,30.15,0.05,100.0,30.1739,28.9,4.41,100.0,30.0841,37.63,20.05,49.74,30.5299,123.01,75.18,0.0
MUSA,82.94,80.3981,CREȘTERE,NU,85.0629,81.7358,4.07,100.0,85.8164,96.8092,11.36,93.22,87.5589,99.3295,11.85,90.75,98.2171,141.5335,30.61,0.0
PAM,10.64,10.64,CREȘTERE,NU,10.6688,10.73,0.57,100.0,10.6771,10.98,2.76,100.0,10.8093,9.38,15.24,73.81,12.1109,14.99,19.21,53.97
MESO,4.55,9.1,SCĂDERE,DA,4.5136,9.04,50.07,0.0,4.5122,11.44,60.56,0.0,4.6141,21.22,78.26,0.0,5.3887,16.62,67.58,0.0
CVLT,37.63,37.63,CREȘTERE,NU,37.7594,38.35,1.54,100.0,37.8608,40.77,7.14,100.0,38.3202,41.47,7.6,100.0,41.545,66.12,37.17,0.0
ING,5.1,3.5364,SCĂDERE,DA,5.1072,3.5364,44.42,0.0,5.1257,3.9941,28.33,8.33,5.2214,3.6196,44.25,0.0,6.1384,8.6573,29.1,4.52
CEPU,2.17,1.8255,CREȘTERE,NU,2.1744,1.9349,12.38,88.1,2.1793,2.0863,4.46,100.0,2.1987,1.8676,17.73,61.35,2.3643,1.918,23.27,33.67
AMRC,15.95,15.95,CREȘTERE,NU,15.9671,17.05,6.35,100.0,16.0377,17.2,6.76,100.0,16.0287,17.08,6.16,100.0,15.654,49.81,68.57,0.0
FNWB,9.43,8.4978,CREȘTERE,NU,9.4338,8.5608,10.2,99.01,9.4474,8.9844,5.15,100.0,9.6771,10.1198,4.37,100.0,11.5153,15.4552,25.49,22.54
HRI,18.96,17.4549,CREȘTERE,NU,19.1252,18.8174,1.64,100.0,19.209,20.7507,7.43,100.0,19.699,24.0925,18.24,58.82,25.479,94.1515,72.94,0.0
BNTC,3.47,88.485,CREȘTERE,NU,3.4613,94.35,96.33,0.0,3.5303,106.59,96.69,0.0,3.5841,143.48,97.5,0.0,4.0814,98.77,95.87,0.0
FRME,24.74,20.0308,CREȘTERE,NU,24.7627,21.1725,16.96,65.21,24.9896,21.9254,13.98,80.12,25.3314,21.974,15.28,73.61,28.1848,39.1168,27.95,10.26
RS,83.13,74.6762,CREȘTERE,NU,83.2363,75.0355,10.93,95.35,83.6142,78.7904,6.12,100.0,84.8941,78.8264,7.7,100.0,96.9649,142.9459,32.17,0.0
BIP,34.39,17.7059,CREȘTERE,NU,34.5683,18.8334,83.55,0.0,34.5449,20.3729,69.56,0.0,35.0234,19.7859,77.01,0.0,39.2523,29.1847,34.5,0.0
PBI,1.85,1.443,CREȘTERE,NU,1.8577,1.4508,28.04,9.78,1.8536,1.716,8.02,100.0,1.8889,2.6833,29.6,1.98,2.1435,6.7622,68.3,0.0
CP,209.4,39.9224,CREȘTERE,NU,209.3505,40.9481,411.26,0.0,210.1113,43.2111,386.24,0.0,209.9878,42.256,396.94,0.0,216.0441,74.1235,191.47,0.0
TR,35.9,28.2201,CREȘTERE,NU,35.7464,28.7625,24.28,28.59,35.5738,29.1084,22.21,38.94,35.0982,27.1589,29.23,3.84,30.1098,27.0299,11.39,93.03
UTSI,1.64,6.56,SCĂDERE,DA,1.6354,6.52,74.92,0.0,1.6585,7.84,78.85,0.0,1.6863,7.68,78.04,0.0,1.9197,6.04,68.22,0.0
BHP,35.87,22.1561,CREȘTERE,NU,35.6491,23.41,52.28,0.0,35.9,24.2809,47.85,0.0,37.1164,23.7435,56.32,0.0,47.1827,44.9285,5.02,100.0
GTN,10.31,8.2241,SCĂDERE,DA,10.2851,8.1204,26.66,16.71,10.3248,9.2212,11.97,90.16,10.4733,8.8542,18.29,58.57,12.1845,15.1513,19.58,52.09
TTEC,32.63,29.4391,CREȘTERE,NU,32.4413,30.621,5.94,100.0,32.8406,32.1728,2.08,100.0,33.0933,33.445,1.05,100.0,35.6512,93.4213,61.84,0.0
GRC,27.96,24.7401,CREȘTERE,NU,27.8149,25.8196,7.73,100.0,28.0324,25.8019,8.64,100.0,28.2505,25.2002,12.1,89.48,31.2157,30.2312,3.26,100.0
USB,31.93,24.691,CREȘTERE,NU,32.1055,25.2633,27.08,14.58,31.8286,27.5677,15.46,72.72,32.8744,27.0186,21.67,41.63,40.7645,44.9411,9.29,100.0
FFIC,12.13,8.6172,SCĂDERE,DA,12.1346,8.5604,41.75,0.0,12.2248,8.0276,52.29,0.0,12.3976,8.5391,45.19,0.0,13.7502,15.7631,12.77,86.15
ZTS,111.92,105.6332,CREȘTERE,NU,112.5238,109.5123,2.75,100.0,113.2067,120.1021,5.74,100.0,114.1123,120.5611,5.35,100.0,125.8613,149.8902,16.03,69.84
SCHW,32.96,30.2257,CREȘTERE,NU,32.9007,31.5371,4.32,100.0,32.8278,33.4629,1.9,100.0,33.4413,33.4262,0.05,100.0,40.4385,62.0123,34.79,0.0
RNP,14.77,8.9413,CREȘTERE,NU,14.8796,9.1835,62.03,0.0,14.9226,10.5395,41.59,0.0,14.8662,10.6798,39.2,0.0,14.1047,16.0058,11.88,90.61
LOOP,7.25,7.25,SCĂDERE,DA,7.2512,6.87,5.55,100.0,7.2803,7.13,2.11,100.0,7.3667,7.63,3.45,100.0,8.3783,8.86,5.44,100.0
NKX,13.61,9.7502,SCĂDERE,DA,13.6364,9.7431,39.96,0.0,13.6953,9.958,37.53,0.0,13.8802,10.0662,37.89,0.0,15.7293,11.5927,35.68,0.0
MMM,133.14,89.2094,CREȘTERE,NU,133.0651,92.4055,44.0,0.0,133.3438,99.8296,33.57,0.0,136.556,99.5683,37.15,0.0,173.4627,133.8167,29.63,1.86
PYPE,8.7,6.5732,CREȘTERE,NU,8.6825,6.9417,25.08,24.61,8.6678,7.4404,16.5,67.52,8.9513,9.6156,6.91,100.0,11.1398,14.6322,23.87,30.66
SELF,3.41,2.4379,SCĂDERE,DA,3.4198,2.4236,41.1,0.0,3.4324,2.7024,27.01,14.94,3.4537,2.681,28.82,5.89,3.7238,3.5928,3.65,100.0
VTSI,2.18,2.18,SCĂDERE,DA,2.1557,2.14,0.73,100.0,2.1665,2.2517,3.78,100.0,2.1855,2.42,9.69,100.0,2.2099,5.57,60.32,0.0
SHAK,32.52,32.52,CREȘTERE,NU,32.6291,32.88,0.76,100.0,32.6608,43.19,24.38,28.11,33.3179,51.7,35.56,0.0,38.8582,113.45,65.75,0.0
JD,40.91,35.8441,SCĂDERE,DA,40.8583,35.1169,16.35,68.25,40.8622,36.0719,13.28,83.6,40.4402,36.2559,11.54,92.29,33.8459,73.8698,54.18,0.0
ZG,30.04,30.04,SCĂDERE,DA,30.1294,29.1,3.54,100.0,30.2102,38.65,21.84,40.82,30.3372,41.73,27.3,13.49,32.6313,135.42,75.9,0.0
BCS,4.05,3.3754,SCĂDERE,DA,4.0474,3.3421,21.1,44.48,4.0377,3.8088,6.01,100.0,4.0858,4.2755,4.44,100.0,4.5008,8.5435,47.32,0.0
VET,3.03,2.74,CREȘTERE,NU,3.0348,3.1108,2.44,100.0,3.0373,3.8794,21.71,41.46,3.0761,4.0241,23.56,32.21,3.4103,6.8365,50.12,0.0
CBIO,4.07,-226.6,SCĂDERE,DA,4.1179,-228.8,-101.8,100.0,4.3333,-258.5,-101.68,100.0,4.3925,-293.7,-101.5,100.0,4.6328,-348.7,-101.33,100.0
LIND,3.69,3.69,SCĂDERE,DA,3.6766,3.57,2.99,100.0,3.6809,6.14,40.05,0.0,3.7737,6.9,45.31,0.0,4.7101,18.01,73.85,0.0
MAN,54.9,44.4643,CREȘTERE,NU,54.7734,45.0555,21.57,42.16,55.1452,49.3562,11.73,91.35,56.2138,57.018,1.41,100.0,65.6723,84.3295,22.12,39.38
WORX,2.35,528.75,SCĂDERE,DA,2.3412,470.25,99.5,0.0,2.4012,533.25,99.55,0.0,2.4103,1294.875,99.81,0.0,2.4208,459.0,99.47,0.0
BIMI,3.06,153.0,SCĂDERE,DA,3.0293,133.0,97.72,0.0,3.0533,126.0,97.58,0.0,3.0346,149.5,97.97,0.0,2.8033,87.5,96.8,0.0
GO,34.42,34.42,CREȘTERE,NU,34.2991,34.53,0.67,100.0,34.1948,35.77,4.4,100.0,34.3281,33.18,3.46,100.0,35.3016,36.8,4.07,100.0
CLSD,1.55,23.25,CREȘTERE,NU,1.5354,24.0,93.6,0.0,1.5592,25.8,93.96,0.0,1.5642,28.95,94.6,0.0,1.423,37.65,96.22,0.0
BLK,409.54,354.9066,CREȘTERE,NU,410.6795,369.6302,11.11,94.47,412.5593,390.8099,5.57,100.0,414.9807,419.5722,1.09,100.0,498.4365,680.4092,26.74,16.28
BURL,146.0,146.0,SCĂDERE,DA,145.5426,145.44,0.07,100.0,145.8822,175.71,16.98,65.12,148.2972,179.46,17.36,63.18,168.564,299.29,43.68,0.0
SEM,13.17,6.4829,CREȘTERE,NU,13.1925,6.5223,102.27,0.0,13.1744,8.0581,63.49,0.0,13.3764,7.1869,86.12,0.0,15.8303,16.9925,6.84,100.0
CHA,29.46,N/A,N/A,N/A,29.6044,N/A,N/A,N/A,29.5025,N/A,N/A,N/A,30.1934,N/A,N/A,N/A,37.3679,N/A,N/A,N/A
ARCC,9.91,5.6115,SCĂDERE,DA,9.9514,5.4642,82.12,0.0,9.9344,6.6477,49.44,0.0,10.1376,7.0157,44.5,0.0,12.1847,11.8497,2.83,100.0
MDRX,6.71,6.71,SCĂDERE,DA,6.716,6.45,4.12,100.0,6.7344,6.69,0.66,100.0,6.7995,6.19,9.85,100.0,8.1947,15.35,46.61,0.0
BKSC,13.95,10.3234,SCĂDERE,DA,13.933,10.1754,36.93,0.0,14.0098,11.5306,21.5,42.49,14.2778,12.7286,12.17,89.14,16.7357,17.2535,3.0,100.0
TENB,20.46,20.46,CREȘTERE,NU,20.477,20.47,0.03,100.0,20.7281,21.55,3.81,100.0,20.8504,24.96,16.46,67.68,21.97,37.46,41.35,0.0
RWT,4.34,2.3908,SCĂDERE,DA,4.3324,1.6526,162.16,0.0,4.3313,2.0602,110.23,0.0,4.4066,2.1208,107.78,0.0,4.994,6.2935,20.65,46.76
JHI,12.14,7.4884,SCĂDERE,DA,12.1966,7.4082,64.64,0.0,12.2306,7.9572,53.7,0.0,12.3851,8.4568,46.45,0.0,14.3467,12.2598,17.02,64.89
HD,178.63,154.5023,CREȘTERE,NU,179.2596,156.8203,14.31,78.46,180.0554,168.5055,6.85,100.0,182.9548,189.0476,3.22,100.0,216.8272,272.3471,20.39,48.07
QGEN,40.22,40.0509,SCĂDERE,DA,40.0142,39.9314,0.21,100.0,39.6971,39.3239,0.95,100.0,38.9566,41.4948,6.12,100.0,31.0414,49.0827,36.76,0.0
CVV,2.33,2.33,SCĂDERE,DA,2.3918,2.25,6.3,100.0,2.4503,2.7,9.25,100.0,2.4864,3.63,31.5,0.0,2.9213,4.43,34.06,0.0
BTT,22.37,18.7461,CREȘTERE,NU,22.4832,18.7881,19.67,51.66,22.5442,18.7461,20.26,48.7,22.8468,18.6121,22.75,36.24,26.2509,22.069,18.95,55.25
NSSC,14.31,6.8838,SCĂDERE,DA,14.5784,6.6529,119.13,0.0,14.7518,8.274,78.29,0.0,14.9414,9.2842,60.93,0.0,17.7539,17.3513,2.32,100.0
DIT,62.41,36.2929,SCĂDERE,DA,62.7517,36.2929,72.9,0.0,62.9877,35.7637,76.12,0.0,63.3792,35.6815,77.62,0.0,69.1371,71.2485,2.96,100.0
ELC,4180.0,N/A,N/A,N/A,4188.3061,N/A,N/A,N/A,4214.275,N/A,N/A,N/A,4281.4564,N/A,N/A,N/A,4811.0625,N/A,N/A,N/A
NOMD,18.38,16.495,CREȘTERE,NU,18.3494,17.1232,7.16,100.0,18.3542,17.0514,7.64,100.0,18.5307,18.9988,2.46,100.0,20.5673,25.0566,17.92,60.42
AAT,22.6,16.7619,CREȘTERE,NU,22.8065,16.8361,35.46,0.0,22.8825,19.8399,15.34,73.32,23.3517,20.3072,14.99,75.04,27.6708,25.2892,9.42,100.0
TSLA,481.56,32.104,SCĂDERE,DA,481.5532,30.298,1489.39,0.0,480.7244,36.5893,1213.84,0.0,473.9243,46.7547,913.64,0.0,386.5155,220.5833,75.22,0.0
BAX,78.66,70.0367,CREȘTERE,NU,79.839,73.2064,9.06,100.0,80.0569,75.2187,6.43,100.0,80.985,78.2103,3.55,100.0,83.1043,75.9746,9.38,100.0
MIY,12.76,9.4651,SCĂDERE,DA,12.8211,9.3984,36.42,0.0,12.8956,9.6432,33.73,0.0,13.0492,9.5006,37.35,0.0,15.0828,11.7437,28.43,7.84
HE,40.34,35.1468,CREȘTERE,NU,40.4027,35.9309,12.45,87.77,40.5968,37.9871,6.87,100.0,41.3129,33.1952,24.45,27.73,46.0038,40.3598,13.98,80.08
