Simbol,Pret_CSV_2020,Pret_Real_API_2020,Trend_Real,Trend_Corect,Pred_1_Zi,Real_1_Zi,Eroare_1_Zi_%,Scor_1_Zi,Pred_1_Sapt,Real_1_Sapt,Eroare_1_Sapt_%,Scor_1_Sapt,Pred_1_Luna,Real_1_Luna,Eroare_1_Luna_%,Scor_1_Luna,Pred_1_An,Real_1_An,Eroare_1_An_%,Scor_1_An
GPI,41.0,39.4816,SCĂDERE,DA,41.5196,36.5734,13.52,82.38,41.7866,48.7453,14.28,78.62,42.402,51.8942,18.29,58.54,49.5623,151.5136,67.29,0.0
LFVN,10.25,8.8503,CREȘTERE,NU,10.2316,9.0489,13.07,84.65,10.2964,9.5152,8.21,100.0,10.4074,13.9274,25.27,23.63,11.6402,8.151,42.81,0.0
RFI,9.48,5.7382,CREȘTERE,NU,9.5074,5.8955,61.26,0.0,9.5277,6.6945,42.32,0.0,9.6397,6.8226,41.29,0.0,10.7167,9.8118,9.22,100.0
ONCY,1.37,1.37,CREȘTERE,NU,1.3693,1.44,4.91,100.0,1.3863,1.45,4.39,100.0,1.3789,1.52,9.28,100.0,1.2481,3.82,67.33,0.0
BSVN,6.95,5.9163,CREȘTERE,NU,6.9833,5.9588,17.19,64.04,7.0697,6.1631,14.71,76.45,7.1984,8.2232,12.46,87.69,8.7814,15.4442,43.14,0.0
TWST,28.09,28.09,CREȘTERE,NU,28.0135,29.76,5.87,100.0,27.9688,27.43,1.96,100.0,27.7254,31.24,11.25,93.75,26.5206,122.2,78.3,0.0
VST,15.33,13.4767,CREȘTERE,NU,15.3373,14.0481,9.18,100.0,15.3961,15.3492,0.31,100.0,15.5119,17.0107,8.81,100.0,16.9282,16.0435,5.51,100.0
ARTW,2.12,2.12,CREȘTERE,NU,2.0409,2.14,4.63,100.0,2.0578,2.15,4.29,100.0,1.9894,1.89,5.26,100.0,1.7553,3.28,46.48,0.0
LSCC,17.03,17.03,SCĂDERE,DA,17.2604,16.85,2.44,100.0,17.8615,19.22,7.07,100.0,17.7119,20.8,14.85,75.77,16.5355,48.68,66.03,0.0
SRE,103.71,42.7823,CREȘTERE,NU,104.5973,43.8342,138.62,0.0,104.8227,50.3479,108.2,0.0,105.6882,49.4733,113.63,0.0,123.2849,56.2822,119.05,0.0
LW,51.0,45.6583,SCĂDERE,DA,51.2777,44.6556,14.83,75.85,51.1493,51.7013,1.07,100.0,52.2551,52.2384,0.03,100.0,64.5041,70.8874,9.0,100.0
CPRI,8.91,8.91,SCĂDERE,DA,8.9349,8.13,9.9,100.0,8.919,13.79,35.32,0.0,9.1881,13.96,34.18,0.0,11.1817,49.38,77.36,0.0
DD,32.52,12.0659,SCĂDERE,DA,32.5413,12.0622,169.78,0.0,32.6383,14.4182,126.37,0.0,33.2848,16.7223,99.04,0.0,41.4085,29.5874,39.95,0.0
PW,9.67,9.67,SCĂDERE,DA,9.6143,9.67,0.58,100.0,9.6587,13.29,27.32,13.38,9.5829,13.49,28.96,5.19,8.5911,46.26,81.43,0.0
XAIR,9.42,188.4,SCĂDERE,DA,9.3765,186.0,94.96,0.0,9.2851,172.0,94.6,0.0,9.0946,146.0,93.77,0.0,6.5235,111.2,94.13,0.0
BRX,8.56,6.4502,SCĂDERE,DA,8.5808,5.9528,44.15,0.0,8.5891,7.6296,12.58,87.12,8.7485,8.6772,0.82,100.0,10.3237,16.4768,37.34,0.0
UGLD,152.44,152.44,CREȘTERE,NU,151.8357,162.45,6.53,100.0,152.0846,174.83,13.01,84.95,150.2356,181.88,17.4,63.01,130.4386,201.36,35.22,0.0
SND,0.805,0.7054,CREȘTERE,NU,0.8055,0.7405,8.78,100.0,0.8056,0.6923,16.37,68.16,0.8209,0.7712,6.45,100.0,0.9487,2.296,58.68,0.0
SHBI,9.07,7.4184,CREȘTERE,NU,9.0068,7.7455,16.28,68.58,9.0299,8.408,7.4,100.0,9.259,8.2853,11.75,91.24,11.0765,14.764,24.98,25.12
CXH,8.86,6.5655,SCĂDERE,DA,8.9389,6.5062,37.39,0.0,8.9887,6.5507,37.22,0.0,9.0943,6.654,36.67,0.0,10.6191,7.6833,38.21,0.0
TPH,7.87,7.87,SCĂDERE,DA,7.9452,7.63,4.13,100.0,8.0,10.68,25.09,24.53,8.1175,10.95,25.87,20.66,9.5475,21.23,55.03,0.0
PRAA,24.39,24.39,SCĂDERE,DA,24.5603,22.75,7.96,100.0,24.7194,26.48,6.65,100.0,25.0563,26.89,6.82,100.0,28.5069,37.68,24.34,28.28
PFGC,22.48,22.48,CREȘTERE,NU,22.5668,22.97,1.76,100.0,22.6501,27.1,16.42,67.9,23.0719,26.91,14.26,78.69,27.9208,57.57,51.5,0.0
RCUS,13.97,13.97,CREȘTERE,NU,13.9117,14.89,6.57,100.0,13.8713,15.32,9.46,100.0,13.6213,26.22,48.05,0.0,10.4149,28.83,63.87,0.0
NGL,2.05,1.82,CREȘTERE,NU,2.051,1.891,8.46,100.0,2.0442,2.2283,8.26,100.0,2.1056,4.8651,56.72,0.0,2.5061,2.18,14.96,75.21
ABCB,22.54,20.7129,CREȘTERE,NU,22.7009,21.0621,7.78,100.0,22.7539,22.1557,2.7,100.0,23.0628,21.7789,5.9,100.0,25.6742,49.9397,48.59,0.0
TRN,15.18,11.9724,CREȘTERE,NU,15.5377,12.7217,22.14,39.32,15.8229,13.8653,14.12,79.41,16.0693,14.9293,7.64,100.0,19.8081,23.3204,15.06,74.7
CKX,8.25,8.25,SCĂDERE,DA,8.2402,8.25,0.12,100.0,8.2418,8.82,6.56,100.0,8.3083,8.16,1.82,100.0,8.8574,12.7,30.26,0.0
NG,7.68,7.68,CREȘTERE,NU,7.668,8.2,6.49,100.0,7.6392,9.31,17.95,60.27,7.5017,11.4,34.2,0.0,6.0043,9.31,35.51,0.0
MGYR,9.3,6.9318,SCĂDERE,DA,9.4119,6.9318,35.78,0.0,9.4673,6.8573,38.06,0.0,9.6117,6.7082,43.28,0.0,11.1605,10.3157,8.19,100.0
RMBI,9.55,7.4963,CREȘTERE,NU,9.4218,7.7632,21.36,43.18,9.5021,7.8182,21.54,42.31,9.8102,8.1714,20.06,49.72,11.8759,11.0772,7.21,100.0
BPYPP,16.73,9.6875,SCĂDERE,DA,16.7494,9.6585,73.42,0.0,16.8273,11.4362,47.14,0.0,17.0929,12.3627,38.26,0.0,19.3514,16.026,20.75,46.25
GPRE,4.13,4.13,CREȘTERE,NU,4.1522,4.24,2.07,100.0,4.148,4.49,7.62,100.0,4.1849,5.65,25.93,20.35,4.498,31.1,85.54,0.0
LBRDA,102.53,96.0918,CREȘTERE,NU,102.7595,99.5689,3.2,100.0,103.5314,103.9269,0.38,100.0,103.3273,114.686,9.9,100.0,106.8381,134.5736,20.61,46.95
PLNT,42.34,42.34,SCĂDERE,DA,42.642,39.84,7.03,100.0,42.6911,52.06,18.0,60.02,43.5464,57.62,24.42,27.88,52.5584,78.52,33.06,0.0
HSIC,48.57,48.57,SCĂDERE,DA,48.5723,48.44,0.27,100.0,48.7512,52.37,6.91,100.0,50.2427,52.15,3.66,100.0,61.2331,68.67,10.83,95.85
JNJ,128.81,108.9112,CREȘTERE,NU,128.997,112.5807,14.58,77.09,129.2111,121.1289,6.67,100.0,129.3391,125.3818,3.16,100.0,141.4271,141.3987,0.02,100.0
AMU,5.61,5.61,CREȘTERE,NU,5.6595,5.84,3.09,100.0,5.7017,6.21,8.19,100.0,5.8547,8.17,28.34,8.3,7.3727,N/A,N/A,N/A
CCAP,8.68,4.404,CREȘTERE,NU,8.7685,4.7947,82.88,0.0,8.8032,5.3274,65.24,0.0,9.0889,5.226,73.92,0.0,11.8582,9.6834,22.46,37.7
DBX,17.88,17.88,CREȘTERE,NU,17.8453,18.23,2.11,100.0,17.7769,18.29,2.81,100.0,17.7774,19.6,9.3,100.0,17.6418,27.39,35.59,0.0
PDEX,15.83,15.83,SCĂDERE,DA,15.8004,14.48,9.12,100.0,15.7202,14.9,5.5,100.0,15.6057,16.1,3.07,100.0,13.5317,27.09,50.05,0.0
